Errors for Brill Tagger 'rules.yaml'

             left context |    word/test->gold     | right context
ating/JJ club/NN that/WDT |   *T*-229/NN->-NONE-   | treated/VBD the/DT tower/
N that/WDT *T*-229/-NONE- |    treated/VBN->VBD    | the/DT tower/NN as/IN sor
mises/NN ,/, ''/'' the/DT |     Vicar/NN->NNP      | Hummerstone/NNP says/VBZ 
/, ''/'' the/DT Vicar/NNP |  Hummerstone/NN->NNP   | says/VBZ *T*-1/-NONE- ./.
JJ band/NN *ICH*-2/-NONE- |     rings/NNS->VBZ     | today/NN at/IN Great/JJ T
Z today/NN at/IN Great/JJ |   Torrington/NN->NNP   | ,/, several/JJ of/IN whom
X still/RB are/VBP n't/RB |     enough/RB->JJ      | ringers/NNS 0/-NONE- *T*-
 are/VBP n't/RB enough/JJ |    ringers/NN->NNS     | 0/-NONE- *T*-1/-NONE- to/
-NONE- *T*-1/-NONE- to/TO |      ring/NN->VB       | more/JJR than/IN six/CD o
T*-1/-NONE- to/TO ring/VB |     more/RBR->JJR      | than/IN six/CD of/IN the/
an/IN six/CD of/IN the/DT |      eight/NN->CD      | bells/NNS ./.
/CD of/IN the/DT eight/CD |     bells/NN->NNS      | ./.
N St./NNP Mary/NNP 's/POS |     Church/NN->NNP     | in/IN Ilminster/NNP ,/, S
P 's/POS Church/NNP in/IN |   Ilminster/NN->NNP    | ,/, Somerset/NNP ,/, the/
P in/IN Ilminster/NNP ,/, |    Somerset/NN->NNP    | ,/, the/DT bells/NNS have
, Somerset/NNP ,/, the/DT |     bells/NN->NNS      | have/VBP fallen/VBN *-1/-
      The/DT vicar/NN ,/, |      W.D./NN->NNP      | Jones/NNP ,/, refuses/VBZ
/, W.D./NNP Jones/NNP ,/, |    refuses/NN->VBZ     | *-1/-NONE- to/TO talk/VB 
NE- it/PRP would/MD ``/`` |     reopen/NN->VB      | the/DT wound/NN ./. ''/''
                   But/CC |     C.J.B./NN->NNP     | Marshall/NNP ,/, vicar/NN
P ,/, vicar/NN of/IN a/DT |     nearby/NN->JJ      | church/NN ,/, feels/VBZ 0
lt/NN is/VBZ in/IN the/DT |     stairs/NN->NNS     | from/IN the/DT bell/NN to
NONE- are/VBP located/VBN |    *-138/NN->-NONE-    | next/JJ to/TO the/DT alta
 located/VBN *-138/-NONE- |      next/IN->JJ       | to/TO the/DT altar/NN ./.
 ,/, bang/NN --/: here/RB |     come/VBN->VBP      | *T*-4/-NONE- the/DT ringe
e/VBP *T*-4/-NONE- the/DT |    ringers/NN->NNS     | from/IN above/RB ,/, *-1/
he/DT ringers/NNS from/IN |      above/IN->RB      | ,/, *-1/-NONE- making/VBG
- making/VBG a/DT very/RB |     obvious/NN->JJ     | exit/NN while/IN the/DT c
                          |     Vicar/NN->NNP      | Marshall/NNP admits/VBZ t
hall/NNP admits/VBZ to/TO |     mixed/VBD->VBN     | feelings/NNS about/IN thi
dmits/VBZ to/TO mixed/VBN |    feelings/NN->NNS    | about/IN this/DT issue/NN
/`` The/DT sound/NN of/IN |     bells/NN->NNS      | is/VBZ a/DT net/NN 0/-NON
/IN bells/NNS is/VBZ a/DT |       net/JJ->NN       | 0/-NONE- *T*-1/-NONE- to/
              ``/`` I/PRP |      live/NN->VBP      | in/IN hopes/NNS that/IN t
`/`` I/PRP live/VBP in/IN |     hopes/VBZ->NNS     | that/IN the/DT ringers/NN
 hopes/NNS that/IN the/DT |    ringers/NN->NNS     | themselves/PRP will/MD be
mselves/PRP will/MD be/VB |     drawn/NN->VBN      | *-139/-NONE- into/IN that
P will/MD be/VB drawn/VBN |    *-139/NN->-NONE-    | into/IN that/DT fuller/JJ
39/-NONE- into/IN that/DT |     fuller/NN->JJR     | life/NN ./. ''/''
       The/DT Central/NNP |    Council/NN->NNP     | of/IN Church/NNP Bell/NNP
ral/NNP Council/NNP of/IN |     Church/NN->NNP     | Bell/NNP Ringers/NNP ,/, 
ncil/NNP of/IN Church/NNP |      Bell/NN->NNP      | Ringers/NNP ,/, a/DT sort
of/IN Church/NNP Bell/NNP |    Ringers/NN->NNP     | ,/, a/DT sort/NN of/IN pa
ringing/NN groups/NNS ,/, |      aims/NN->VBZ      | *-1/-NONE- to/TO improve/
/VB relations/NNS with/IN |     vicars/NN->NNS     | ,/, says/VBZ 0/-NONE- *T*
-2/-NONE- John/NNP C./NNP |    Baldwin/NN->NNP     | ,/, president/NN ./.
opes/VBZ *-1/-NONE- to/TO |      speak/NN->VB      | to/TO students/NNS at/IN 
 to/TO students/NNS at/IN |   theological/NN->JJ   | colleges/NNS about/IN the
/NNS at/IN theological/JJ |    colleges/NN->NNS    | about/IN the/DT joys/NNS 
leges/NNS about/IN the/DT |      joys/NN->NNS      | of/IN bell/NN ringing/NN 
and/CC will/MD shortly/RB |     publish/NN->VB     | a/DT booklet/NN for/IN ev
N in/IN the/DT country/NN |    entitled/NN->VBD    | ,/, ``/`` The/DT Bells/NN
tled/VBD ,/, ``/`` The/DT |     Bells/NN->NNP      | in/IN Your/PRP$ Care/NNP 
Bells/NNP in/IN Your/PRP$ |      Care/NN->NNP      | ./. ''/''
BZ *ICH*-1/-NONE- Mr./NNP |    Baldwin/NN->NNP     | ,/, ``/`` We/PRP recogniz
dwin/NNP ,/, ``/`` We/PRP |   recognize/VB->VBP    | that/IN we/PRP may/MD no/
P may/MD no/RB longer/RBR |      have/VB->VBP      | as/RB high/JJ a/DT priori
                  Mr./NNP |    Baldwin/NN->NNP     | is/VBZ also/RB attacking/
aldwin/NNP is/VBZ also/RB |   attacking/NN->VBG    | the/DT greater/JJR proble
blem/NN :/: lack/NN of/IN |    ringers/NN->NNS     | ./.
DT 100,000/CD trained/VBN |  bellringers/NN->NNS   | in/IN England/NNP today/N
D of/IN them/PRP still/RB |      ring/NN->VBP      | ./.
              Also/RB ,/, |    ringers/NN->NNS     | do/VBP n't/RB always/RB l
S do/VBP n't/RB always/RB |      live/NN->VB       | where/WRB the/DT bells/NN
 live/VB where/WRB the/DT |     bells/NN->NNS      | need/VBP *-1/-NONE- to/TO
BP *-1/-NONE- to/TO be/VB |      rung/NN->VBN      | *-140/-NONE- *T*-2/-NONE-
ONE- to/TO be/VB rung/VBN |    *-140/NN->-NONE-    | *T*-2/-NONE- --/: like/IN
ike/IN in/IN small/JJ ,/, |      rural/NN->JJ      | parishes/NNS and/CC inner
/IN small/JJ ,/, rural/JJ |    parishes/NN->NNS    | and/CC inner-city/NN chur
/NNS and/CC inner-city/NN |    churches/NN->NNS    | ./.
program/NN */-NONE- to/TO |     attract/NN->VB     | and/CC train/VB ringers/N
- to/TO attract/VB and/CC |      train/NN->VB      | ringers/NNS is/VBZ only/R
ttract/VB and/CC train/VB |    ringers/NN->NNS     | is/VBZ only/RB partly/RB 
ONE- *T*-1/-NONE- Mr./NNP |    Baldwin/NN->NNP     | ./.
                    ``/`` |      Right/NN->RB      | now/RB ,/, we/PRP 're/VBP
now/RB ,/, we/PRP 're/VBP |      lucky/NN->JJ      | if/IN after/IN five/CD ye
 five/CD years/NNS we/PRP |      keep/VB->VBP      | one/CD new/JJ ringer/NN o
 of/IN women/NNS have/VBP |    entered/VBD->VBN    | the/DT once/RB male-domin
ntered/VBN the/DT once/RB | male-dominated/NN->JJ  | field/NN ;/: more/JJR tha
dominated/JJ field/NN ;/: |     more/RBR->JJR      | than/IN a/DT third/JJ of/
/DT third/JJ of/IN the/DT |    ringers/NN->NNS     | today/NN are/VBP women/NN
B accepted/VBN *-1/-NONE- |   everywhere/NN->RB    | ,/, however/RB ./.
        The/DT oldest/JJS |  bell-ringing/NN->JJ   | group/NN in/IN the/DT cou
/DT country/NN ,/, the/DT |    Ancient/NN->NNP     | Society/NNP of/IN College
ety/NNP of/IN College/NNP |     Youths/NN->NNP     | ,/, founded/VBN */-NONE- 
ollege/NNP Youths/NNP ,/, |    founded/NN->VBN     | */-NONE- in/IN 1637/CD ,/
N 1637/CD ,/, remains/VBZ |    male-only/NN->JJ    | ,/, a/DT fact/NN that/WDT
,/, a/DT fact/NN that/WDT |   *T*-230/NN->-NONE-   | 's/VBZ particularly/RB ga
N that/WDT *T*-230/-NONE- |      's/POS->VBZ       | particularly/RB galling/J
E- 's/VBZ particularly/RB |     galling/NN->JJ     | to/TO women/NNS because/I
DT group/NN is/VBZ the/DT |      sole/NN->JJ       | source/NN of/IN ringers/N
T sole/JJ source/NN of/IN |    ringers/NN->NNS     | for/IN Britain/NNP 's/POS
for/IN Britain/NNP 's/POS |     most/RBS->JJS      | prestigious/JJ churches/N
S most/JJS prestigious/JJ |    churches/NN->NNS    | ,/, St./NNP Paul/NNP 's/P
, St./NNP Paul/NNP 's/POS |   Cathedral/NN->NNP    | and/CC Westminster/NNP Ab
/POS Cathedral/NNP and/CC |  Westminster/NN->NNP   | Abbey/NNP ./.
NP and/CC Westminster/NNP |     Abbey/NN->NNP      | ./.
N of/IN the/DT problem/NN |   surfaced/VBN->VBD    | this/DT summer/NN in/IN a
rs/NNS to/TO ``/`` The/DT |    Ringing/NN->NNP     | World/NNP ,/, ''/'' a/DT 
 World/NNP ,/, ''/'' a/DT |     weekly/NN->JJ      | newspaper/NN for/IN ringe
ly/JJ newspaper/NN for/IN |    ringers/NN->NNS     | ./.
     One/CD writer/NN ,/, |    signing/NN->VBG     | his/PRP$ letter/NN as/IN 
RP$ letter/NN as/IN ``/`` |   Red-blooded/NN->JJ   | ,/, balanced/JJ male/NN ,
 ``/`` Red-blooded/JJ ,/, |    balanced/NN->JJ     | male/NN ,/, ''/'' remarke
nced/JJ male/NN ,/, ''/'' |   remarked/VBD->VBN    | on/IN the/DT ``/`` freque
quency/NN of/IN women/NNS |    fainting/NN->VBG    | in/IN peals/NNS ,/, ''/''
en/NNS fainting/VBG in/IN |     peals/NN->NNS      | ,/, ''/'' and/CC suggeste
BD that/IN they/PRP ``/`` |     settle/VBP->VB     | back/RB into/IN their/PRP
 they/PRP ``/`` settle/VB |      back/NN->RB       | into/IN their/PRP$ tradit
N the/DT torrent/NN of/IN |    replies/VBZ->NNS    | that/IN *T*-1/-NONE- foll
oman/NN ringer/NN from/IN |    Solihull/NN->NNP    | observed/VBN that/IN ``/`
r/NN from/IN Solihull/NNP |    observed/NN->VBN    | that/IN ``/`` the/DT aver
N ``/`` the/DT average/JJ |      male/NN->JJ       | ringer/NN leaves/VBZ quit
 *T*-2/-NONE- to/TO be/VB |    desired/NN->VBN     | *-141/-NONE- :/: *-3/-NON
- to/TO be/VB desired/VBN |    *-141/NN->-NONE-    | :/: *-3/-NONE- badly/RB d
- :/: *-3/-NONE- badly/RB |    dressed/NN->VBN     | ,/, decorated/VBN with/IN
 badly/RB dressed/VBN ,/, |   decorated/NN->VBN    | with/IN acne/NN and/CC a/
elly/NN ,/, frequently/RB |    unwashed/NN->JJ     | and/CC unbearably/RB flat
tly/RB unwashed/JJ and/CC |   unbearably/NN->RB    | flatulent/JJ in/IN peals/
d/JJ and/CC unbearably/RB |    flatulent/NN->JJ    | in/IN peals/NNS ./. ''/''
bly/RB flatulent/JJ in/IN |     peals/NN->NNS      | ./. ''/''
men/NNS wrote/VBD from/IN |   Sheffield/NN->NNP    | *-1/-NONE- to/TO say/VB t
RP$ 60/CD years/NNS of/IN |    ringing/NN->VBG     | ,/, ``/`` I/PRP have/VBP 
 ,/, ``/`` I/PRP have/VBP |     never/RBR->RB      | known/VBN a/DT lady/NN to
wn/VBN a/DT lady/NN to/TO |      faint/NN->VB      | in/IN the/DT belfry/NN ./
n/NNS die/VB ,/, */-NONE- |      bless/NN->VB      | them/PRP ./.
            Investors/NNS |   unsettled/NN->VBN    | */-NONE- by/IN the/DT sto
T comfort/NN in/IN the/DT |   predictable/NN->JJ   | arrival/NN of/IN quarterl
NS raising/VBG their/PRP$ |    payouts/NN->NNS     | more/JJR than/IN 10/CD %/
BG their/PRP$ payouts/NNS |     more/RBR->JJR      | than/IN 10/CD %/NN ./.
CC */-NONE- do/VBP n't/RB |     breathe/NN->VB     | too/RB easy/JJ :/: Those/
d/NN increases/NNS may/MD |     signal/NN->VB      | trouble/NN ahead/RB for/I
 ,/, some/DT analysts/NNS |      warn/NN->VBP      | 0/-NONE- *T*-1/-NONE- ./.
             In/IN the/DT |      past/JJ->NN       | ,/, they/PRP say/VBP 0/-N
- *T*-1/-NONE- ,/, the/DT |   strongest/NN->JJS    | dividend/NN growth/NN has
arty/NN was/VBD almost/RB |      over/IN->JJ       | *T*-2/-NONE- ./.
                  That/DT |       can/NN->MD       | be/VB a/DT trap/NN for/IN
be/VB a/DT trap/NN for/IN |     unwary/NN->JJ      | investors/NNS ,/, says/VB
 *T*-1/-NONE- Richard/NNP |   Bernstein/NN->NNP    | ,/, senior/JJ quantitativ
rnstein/NNP ,/, senior/JJ |  quantitative/NN->JJ   | analyst/NN at/IN Merrill/
ative/JJ analyst/NN at/IN |    Merrill/NN->NNP     | Lynch/NNP &/CC Co/NNP ./.
lyst/NN at/IN Merrill/NNP |     Lynch/NN->NNP      | &/CC Co/NNP ./.
                          |     Strong/NN->JJ      | dividend/NN growth/NN ,/,
- ,/, is/VBZ ``/`` the/DT |      black/NN->JJ      | widow/NN of/IN valuation/
NN to/TO the/DT female/JJ |    spiders/NN->NNS     | that/WDT *T*-231/-NONE- a
e/JJ spiders/NNS that/WDT |   *T*-231/NN->-NONE-   | attract/VBP males/NNS and
S that/WDT *T*-231/-NONE- |    attract/NN->VBP     | males/NNS and/CC then/RB 
T*-231/-NONE- attract/VBP |     males/NN->NNS      | and/CC then/RB kill/VBP t
 males/NNS and/CC then/RB |      kill/NN->VBP      | them/PRP after/IN mating/
ill/VBP them/PRP after/IN |     mating/NN->VBG     | ./.
              Stephen/NNP |     Boesel/NN->NNP     | ,/, president/NN of/IN T.
T./NNP Rowe/NNP Price/NNP |     Growth/NN->NNP     | and/CC Income/NNP Fund/NN
ice/NNP Growth/NNP and/CC |     Income/NN->NNP     | Fund/NNP ,/, explains/VBZ
VBZ that/IN companies/NNS |     raise/VB->VBP      | their/PRP$ payouts/NNS mo
/NNS raise/VBP their/PRP$ |    payouts/NN->NNS     | most/RBS robustly/RB only
BP their/PRP$ payouts/NNS |     most/JJS->RBS      | robustly/RB only/RB after
PRP$ payouts/NNS most/RBS |    robustly/NN->RB     | only/RB after/IN the/DT e
                    ``/`` |   Invariably/NN->RB    | ,/, those/DT strong/JJ pe
S in/IN the/DT economy/NN |      give/VB->VBP      | way/NN to/TO recessionary
/NN give/VBP way/NN to/TO |  recessionary/NN->JJ   | environments/NNS ,/, ''/'
/NN to/TO recessionary/JJ |  environments/NN->NNS  | ,/, ''/'' he/PRP says/VBZ
             ``/`` And/CC |  recessionary/NN->JJ   | environments/NNS are/VBP 
`` And/CC recessionary/JJ |  environments/NN->NNS  | are/VBP n't/RB hospitable
nments/NNS are/VBP n't/RB |   hospitable/NN->JJ    | to/TO the/DT stock/NN mar
lysts/NNS say/VBP that/IN |    payouts/NN->NNS     | have/VBP sometimes/RB ris
NNS have/VBP sometimes/RB |     risen/NN->VBN      | most/RBS sharply/RB when/
BP sometimes/RB risen/VBN |     most/JJS->RBS      | sharply/RB when/WRB price
B on/IN their/PRP$ way/NN |      down/RP->IN       | from/IN cyclical/JJ peaks
P$ way/NN down/IN from/IN |    cyclical/NN->JJ     | peaks/NNS *T*-1/-NONE- ./
wn/IN from/IN cyclical/JJ |     peaks/NN->NNS      | *T*-1/-NONE- ./.
/NNP &/CC Poor/NNP 's/POS |    500-stock/NN->JJ    | index/NN soared/VBD 10/CD
POS 500-stock/JJ index/NN |    soared/VBN->VBD     | 10/CD %/NN ,/, following/
 growth/NN the/DT year/NN |     before/RB->IN      | ./.
NN started/VBD *-1/-NONE- |    sliding/NN->VBG     | in/IN price/NN in/IN Sept
on/NN in/IN dividends/NNS |      that/WDT->DT      | year/NN ./.
kes/VBZ some/DT market/NN |    watchers/NN->NNS    | anxious/JJ ./.
                          |    Payouts/NN->NNS     | on/IN the/DT S&P/NNP 500/
nd/CC Wall/NNP Street/NNP |   estimates/VBZ->NNS   | for/IN 1989/CD growth/NN 
/IN dividends/NNS will/MD |      slow/JJ->VB       | next/JJ year/NN ,/, altho
hough/IN a/DT minority/NN |      see/VB->VBP       | double-digit/JJ gains/NNS
 a/DT minority/NN see/VBP |  double-digit/NN->JJ   | gains/NNS continuing/VBG 
/RB ,/, many/JJ market/NN |    watchers/NN->NNS    | say/VBP 0/-NONE- recent/J
NE- recent/JJ dividend/NN |     trends/NN->NNS     | raise/VBP another/DT warn
JJ dividend/NN trends/NNS |     raise/VB->VBP      | another/DT warning/NN fla
IN dividends/NNS have/VBP |     risen/NN->VBN      | smartly/RB ,/, their/PRP$
ds/NNS have/VBP risen/VBN |     smartly/NN->RB     | ,/, their/PRP$ expansion/
pansion/NN has/VBZ n't/RB |     kept/VBN->VBD      | pace/NN with/IN even/JJ s
 kept/VBD pace/NN with/IN |      even/RB->JJ       | stronger/JJR advances/NNS
h/IN even/JJ stronger/JJR |    advances/NN->NNS    | in/IN stock/NN prices/NNS
ge/NN of/IN price/NN --/: |      has/VBZ->VBP      | slid/VBD to/TO a/DT level
TO a/DT level/NN that/WDT |   *T*-232/NN->-NONE-   | is/VBZ fairly/RB low/JJ a
Z fairly/RB low/JJ and/CC |   unenticing/NN->JJ    | by/IN historical/JJ stand
                 */-NONE- |      Put/NN->VBN       | *-1/-NONE- another/DT way
RB rich/JJ in/IN price/NN |    relative/NN->JJ     | to/TO the/DT dividends/NN
 are/VBP keeping/VBG a/DT |      close/VB->JJ      | watch/NN on/IN the/DT yie
 about/RB 3.3/CD %/NN ,/, |       up/RB->IN        | from/IN 3.2/CD %/NN befor
- investors/NNS should/MD |      run/VBN->VB       | for/IN the/DT exits/NNS i
d/MD run/VB for/IN the/DT |     exits/NN->NNS      | if/IN a/DT sustained/VBN 
e/DT exits/NNS if/IN a/DT |   sustained/NN->VBN    | market/NN rebound/NN push
/VBN market/NN rebound/NN |     pushes/NN->VBZ     | the/DT yield/NN below/IN 
ONE- *T*-1/-NONE- Mr./NNP |     Boesel/NN->NNP     | of/IN T./NNP Rowe/NNP Pri
rket/NN has/VBZ always/RB |     tanked/NN->VBN     | ./.
                          |     Always/NN->RB      | ./.
- *T*-1/-NONE- Gerald/NNP |       W./NN->NNP       | Perritt/NNP ,/, a/DT Chic
/-NONE- Gerald/NNP W./NNP |    Perritt/NN->NNP     | ,/, a/DT Chicago/NNP inve
NNS of/IN stock-market/NN |      data/NNS->NN      | ./.
                          |  Stockholders/NN->NNS  | who/WP *T*-233/-NONE- too
  Stockholders/NNS who/WP |   *T*-233/NN->-NONE-   | took/VBD the/DT hint/NN a
nd/CC sold/VBD shares/NNS |    escaped/NN->VBD     | the/DT October/NNP debacl
D other/JJ times/NNS --/: |       in/IN->NN        | 1929/CD ,/, 1933/CD ,/, 1
 *T*-1/-NONE- ,/, Mr./NNP |    Perritt/NN->NNP     | found/VBD 0/-NONE- *T*-2/
NE- *T*-1/-NONE- ,/, a/DT |      sharp/NN->JJ      | drop/NN in/IN stock/NN pr
 reading/NN is/VBZ n't/RB |       as/IN->RB        | troublesome/JJ as/IN it/P
ng/NN is/VBZ n't/RB as/RB |   troublesome/NN->JJ   | as/IN it/PRP might/MD hav
?*/-NONE- in/IN years/NNS |      past/JJ->NN       | ./.
ations/NNS are/VBP not/RB |    behaving/NN->VBG    | in/IN a/DT traditional/JJ
1/-NONE- James/NNP H./NNP |     Coxon/NN->NNP      | ,/, head/NN of/IN stock/N
/NNP H./NNP Coxon/NNP ,/, |      head/JJ->NN       | of/IN stock/NN investment
NN investments/NNS for/IN |     Cigna/NN->NNP      | Corp./NNP ,/, the/DT Phil
/NNP Corp./NNP ,/, the/DT | Philadelphia-based/NN->JJ | insurer/NN ./.
particular/JJ ,/, Mr./NNP |     Coxon/NN->NNP      | says/VBZ 0/-NONE- *T*-1/-
tock/NN prices/NNS may/MD |      look/NN->VB       | fairly/RB high/JJ relativ
look/VB fairly/RB high/JJ |    relative/NN->JJ     | to/TO dividends/NNS ,/, t
e/VBP not/RB excessive/JJ |    relative/NN->JJ     | to/TO the/DT underlying/J
 relative/JJ to/TO the/DT |   underlying/VBG->JJ   | corporate/JJ strength/NN 
N *-1/-NONE- to/TO buy/VB |      back/NN->RP       | some/DT of/IN their/PRP$ 
their/PRP$ shares/NNS ,/, |     notes/NNS->VBZ     | 0/-NONE- *T*-2/-NONE- Ste
/-NONE- Steven/NNP G./NNP |    Einhorn/NN->NNP     | ,/, co-chairman/NN of/IN 
                   He/PRP |    factors/NNS->VBZ    | that/DT into/IN the/DT ma
       He/PRP factors/VBZ |      that/IN->DT       | into/IN the/DT market/NN 
justed/VBN yield/NN of/IN |      about/IN->RB      | 3.6/CD %/NN ./.
DT tad/NN below/IN the/DT |     average/JJ->NN     | of/IN the/DT past/JJ 40/C
                  What/WP |   *T*-234/NN->-NONE-   | will/MD happen/VB to/TO d
/TO dividend/NN growth/NN |      next/IN->JJ       | year/NN ?/.
                          |     Common/NNP->JJ     | wisdom/NN suggests/VBZ a/
sdom/NN suggests/VBZ a/DT |  single-digit/NN->JJ   | rate/NN of/IN growth/NN ,
                          |  PaineWebber/NN->NNP   | Inc./NNP ,/, for/IN insta
IN instance/NN ,/, is/VBZ |  forecasting/NN->VBG   | growth/NN in/IN S&P/NNP 5
CD %/NN in/IN 1990/CD ,/, |      down/RB->IN       | from/IN an/DT estimated/V
N moderate/JJ economic/JJ |   slowdowns/NN->NNS    | --/: the/JJ environment/N
mic/JJ slowdowns/NNS --/: |       the/DT->JJ       | environment/NN 0/-NONE- t
1990/CD *T*-2/-NONE- --/: |       the/DT->JJ       | change/NN in/IN dividends
N ,/, according/VBG to/TO |  PaineWebber/NN->NNP   | analyst/NN Thomas/NNP Doe
NNP analyst/NN Thomas/NNP |  Doerflinger/NN->NNP   | ./.
e/VBP the/DT financial/JJ |   wherewithal/NN->JJ   | *ICH*-2/-NONE- this/DT ti
-2/-NONE- this/DT time/NN |     around/RB->RP      | 0/-NONE- */-NONE- to/TO d
P 0/-NONE- */-NONE- to/TO |     declare/NN->VB     | sharply/RB higher/JJR div
N their/PRP$ earnings/NNS |     weaken/NN->VBP     | ./.
 %/NN is/VBZ expected/VBN |    *-142/NN->-NONE-    | by/IN both/DT Mr./NNP Cox
NE- by/IN both/DT Mr./NNP |     Coxon/NN->NNP      | of/IN Cigna/NNP and/CC Mr
T Mr./NNP Coxon/NNP of/IN |     Cigna/NN->NNP      | and/CC Mr./NNP Einhorn/NN
 Cigna/NNP and/CC Mr./NNP |    Einhorn/NN->NNP     | of/IN Goldman/NNP Sachs/N
     Those/DT dividend/NN |     bulls/NN->NNS      | argue/VBP that/IN corpora
/IN *-2/-NONE- having/VBG |     plenty/JJ->NN      | of/IN cash/NN left/VBD ov
G plenty/NN of/IN cash/NN |     left/VBN->VBD      | over/RP */-NONE- after/IN
NN of/IN cash/NN left/VBD |      over/IN->RP       | */-NONE- after/IN *-1/-NO
/CC making/VBG capital/NN |  expenditures/NN->NNS  | ./.
NNS in/IN October/NNP ,/, |    basically/NN->RB    | unchanged/JJ from/IN 138/
aight/JJ months/NNS in/IN |     which/IN->WDT      | the/DT number/NN of/IN in
er/NN of/IN increases/NNS |    trailed/NN->VBD     | the/DT year-earlier/JJ pa
 tally/NN does/VBZ n't/RB |     measure/NN->VB     | the/DT magnitude/NN of/IN
/NN *ICH*-2/-NONE- is/VBZ |     mixed/VBD->VBN     | on/IN how/WRB much/JJ of/
th/NN continues/VBZ at/IN |  double-digit/NN->JJ   | levels/NNS ./.
                  Mr./NNP |    Einhorn/NN->NNP     | of/IN Goldman/NNP Sachs/N
tock/NN market/NN will/MD |     deliver/NN->VB     | a/DT 12/CD %/NN to/TO 15/
/JJ 12/CD months/NNS --/: |       vs./NN->IN       | a/DT ``/`` cash/NN rate/N
s/RB 7/CD %/NN or/CC 8/CD |        %/NN->JJ        | *U*/-NONE- if/IN dividend
           But/CC Mr./NNP |     Boesel/NN->NNP     | of/IN T./NNP Rowe/NNP Pri
/NNP Price/NNP ,/, who/WP |   *T*-235/NN->-NONE-   | also/RB expects/VBZ 12/CD
th/NN in/IN dividends/NNS |      next/JJ->IN       | year/NN ,/, does/VBZ n't/
erall/JJ market/NN all/DT |      that/WDT->DT      | much/JJ ./.
 market/NN all/DT that/DT |      much/RB->JJ       | ./.
           ``/`` */-NONE- |     Having/NN->VBG     | the/DT dividend/NN increa
increases/NNS is/VBZ a/DT |   supportive/NN->JJ    | element/NN in/IN the/DT m
JJ earnings/NNS likely/JJ |      next/JJ->IN       | year/NN ,/, ``/`` I/PRP w
/`` I/PRP would/MD n't/RB |      look/NN->VB       | for/IN the/DT market/NN t
/NN to/TO have/VB much/JJ |     upside/NN->RB      | from/IN current/JJ levels
 Your/PRP$ Oct./NNP 13/CD |    page-one/NN->JJ     | story/NN on/IN the/DT ren
/JJ story/NN on/IN the/DT |    renewed/VBD->VBN    | plight/NN of/IN Western/N
newed/VBN plight/NN of/IN |    Western/JJ->NNP     | Union/NNP says/VBZ that/I
nion/NNP says/VBZ that/IN |    Western/JJ->NNP     | Union/NNP had/VBD lost/VB
NONE- turning/VBG down/RP |   Alexander/NN->NNP    | Graham/NNP Bell/NNP 's/PO
VBG down/RP Alexander/NNP |     Graham/NN->NNP     | Bell/NNP 's/POS offer/NN 
 Alexander/NNP Graham/NNP |      Bell/NN->NNP      | 's/POS offer/NN to/TO it/
/NN ,/, because/IN it/PRP |   supposedly/NN->RB    | felt/VBD that/IN voice/NN
tion/NN would/MD never/RB |     replace/NN->VB     | the/DT telegraph/NN ./.
ever/RB replace/VB the/DT |   telegraph/VBP->NN    | ./.
                          |      Bell/NN->NNP      | 's/POS father-in-law/NN ,
/POS father-in-law/NN ,/, |    Gardner/NN->NNP     | G./NNP Hubbard/NNP ,/, we
NN ,/, Gardner/NNP G./NNP |    Hubbard/NN->NNP     | ,/, wealthy/JJ and/CC wel
NP G./NNP Hubbard/NNP ,/, |     wealthy/NN->JJ     | and/CC well-connected/JJ 
NNP ,/, wealthy/JJ and/CC | well-connected/NN->JJ  | ,/, obtained/VBD financin
/CC well-connected/JJ ,/, |   obtained/VBN->VBD    | financing/NN 0/-NONE- *T*
NE- to/TO start/VB the/DT |    American/JJ->NNP    | Bell/NNP Telephone/NNP Co
rt/VB the/DT American/NNP |      Bell/NN->NNP      | Telephone/NNP Co./NNP in/
NN in/IN New/NNP York/NNP |    called/VBD->VBN     | */-NONE- the/DT Telephone
 This/DT is/VBZ where/WRB |      Bell/NN->NNP      | 's/POS patents/NNS went/V
                          |    Western/JJ->NNP     | Union/NNP indeed/RB wante
CC then/RB immediately/RB |      sued/NN->VBD      | the/DT Bell/NNP Co./NNP *
iately/RB sued/VBD the/DT |      Bell/NN->NNP      | Co./NNP *-1/-NONE- claimi
t/IN the/DT microphone/NN |    invented/NN->VBN    | */-NONE- by/IN my/PRP$ gr
y/PRP$ grandfather/NN ,/, |     Emile/NN->NNP      | Berliner/NNP ,/, which/WD
ndfather/NN ,/, Emile/NNP |    Berliner/NN->NNP    | ,/, which/WDT *T*-2/-NONE
had/VBD been/VBN sold/VBN |    *-144/NN->-NONE-    | to/TO Bell/NNP for/IN a/D
ld/VBN *-144/-NONE- to/TO |      Bell/NN->NNP      | for/IN a/DT princely/JJ $
o/TO Bell/NNP for/IN a/DT |    princely/NN->JJ     | $/$ 50,000/CD *U*/-NONE- 
 50,000/CD *U*/-NONE- ,/, |   infringed/NN->VBN    | upon/IN Western/NNP Union
,/, infringed/VBN upon/IN |    Western/JJ->NNP     | Union/NNP 's/POS Edison/N
                 When/WRB |      Bell/NN->NNP      | established/VBD that/IN t
        When/WRB Bell/NNP |  established/NN->VBD   | that/IN the/DT Berliner/N
